id;customer_id;first_name;middle_name;last_name;date_of_birth;email_id;phone_number
1;17974;"dEfPXp";"FGMtPQ";"Pfq";2021-01-31;"3R}hRT@f]$.YnKS2";"6791917492"
2;85635;"EMi";"e";"Xoiy";2021-01-31;")hl4@7)k.$";"+772 410291736"
3;83700;"BIhuYf";"tREG";"mn";2021-01-31;"W@r8.3gM_#";"69941391"
4;59991;"DG";"Uw";"X";2021-01-30;"J1:_@%\3nT.M4";"71067296"
5;4670;"zZ";"bN";"eYjiZu";2021-01-30;"v^M@vx'.s-";"5370319935"
6;79304;"mlm";"Vn";"prBIKP";2021-01-30;"05pV*@`ho.N:;b";"+541184410806"
7;95505;"nhL";"MWPct";"xge";2021-01-30;"9G(q4E@n~b.Q|:w";"98989897"
8;7838;"aNne";"bYox";"DWyrj";2021-01-31;"x!@~mI.#K?![U";"49128426"
9;89923;"YWq";"heKjnn";"bqHxT";2021-01-31;"[\%`-9@edz(_].!oI${";"+31-645890942"
10;32594;"FTkPbk";"o";"KgcLx";2021-01-30;"M*@6TM_.[9LSY%";"+6992111903074"
